hour_of_day,events,avg_delay,p90_delay
0,21583,44.5,226.0
1,12899,35.2,211.0
2,6237,75.3,307.0
3,3246,93.3,317.0
4,5811,31.9,194.0
5,26653,16.0,147.0
6,53210,24.1,169.0
7,62980,17.2,179.0
8,63207,21.1,198.0
9,57018,29.9,221.0
10,52449,42.3,245.0
11,50891,55.9,280.0
12,51097,72.9,311.0
13,52169,89.4,353.0
14,56379,96.4,372.0
15,62936,97.2,394.0
16,67734,104.6,402.0
17,69297,124.9,448.0
18,65599,127.1,449.0
19,53589,149.8,477.0
20,45010,106.1,351.0
21,39454,86.9,313.0
22,33008,82.1,288.0
23,28306,65.8,258.0
